State,Year,Male,Female,Total Pop
Alabama,2014,3630,3085,4817678
Alaska,2014,1130,1249,728300
Arizona,2014,3732,3918,6561516
Arkansas,2014,2442,2699,2947036
California,2014,10686,10011,38066920
Colorado,2014,3942,3345,5197580
Connecticut,2014,2966,2805,3592053
Delaware,2014,1443,1496,917060
District of Columbia,2014,1343,1394,633736
Florida,2014,7897,8776,19361792
Georgia,2014,5554,5529,9907756
Hawaii,2014,1760,1834,1392704
Idaho,2014,1855,2058,1599464
Illinois,2014,5987,6061,12868747
Indiana,2014,3761,3449,6542411
Iowa,2014,2274,2232,3078116
Kansas,2014,2012,2579,2882946
Kentucky,2014,3057,2668,4383272
Louisiana,2014,3222,3265,4601049
Maine,2014,1573,1733,1328535
Maryland,2014,4103,4602,5887776
Massachusetts,2014,4005,4151,6657291
Michigan,2014,3798,4294,9889024
Minnesota,2014,3514,3947,5383661
Mississippi,2014,2522,2103,2984345
Missouri,2014,3461,3728,6028076
Montana,2014,1357,1522,1006370
Nebraska,2014,1854,1861,1855617
Nevada,2014,2537,2862,2761584
New Hampshire,2014,2055,1901,1321069
New Jersey,2014,5242,4939,8874374
New Mexico,2014,1867,2061,2080085
New York,2014,7748,6381,19594330
North Carolina,2014,4791,6038,9750405
North Dakota,2014,1133,1204,704925
Ohio,2014,5614,4597,11560380
Oklahoma,2014,2170,2436,3818851
Oregon,2014,3070,2926,3900343
Pennsylvania,2014,5635,4569,12758729
Rhode Island,2014,1733,1627,1053252
South Carolina,2014,3437,3492,4727273
South Dakota,2014,1339,1253,834708
Tennessee,2014,3688,3955,6451365
Texas,2014,9211,9974,26092033
Utah,2014,2504,2455,2858111
Vermont,2014,1083,1014,626358
Virginia,2014,4889,4631,8185131
Washington,2014,4525,4251,6899123
West Virginia,2014,1695,1545,1853881
Wisconsin,2014,3275,3336,5724692
Wyoming,2014,1095,1032,575251
Puerto Rico,2014,2553,2912,3638965
Alabama,2015,3052,3367,4830620
Alaska,2015,1188,1195,733375
Arizona,2015,3540,3671,6641928
Arkansas,2015,2046,2404,2958208
California,2015,9963,11631,38421464
Colorado,2015,3506,4004,5278906
Connecticut,2015,2877,3333,3593222
Delaware,2015,1168,1450,926454
District of Columbia,2015,1643,1359,647484
Florida,2015,9026,8092,19645772
Georgia,2015,5977,5554,10006693
Hawaii,2015,1673,1904,1406299
Idaho,2015,2101,1779,1616547
Illinois,2015,5602,6865,12873761
Indiana,2015,3837,4103,6568645
Iowa,2015,2774,2625,3093526
Kansas,2015,2831,2516,2892987
Kentucky,2015,2669,3059,4397353
Louisiana,2015,3029,3756,4625253
Maine,2015,1629,1851,1329100
Maryland,2015,4018,3758,5930538
Massachusetts,2015,5017,4263,6705586
Michigan,2015,4104,4469,9900571
Minnesota,2015,3561,3514,5419171
Mississippi,2015,2155,2198,2988081
Missouri,2015,3475,3322,6045448
Montana,2015,1363,1383,1014699
Nebraska,2015,1652,1519,1869365
Nevada,2015,2117,2410,2798636
New Hampshire,2015,1843,1701,1324201
New Jersey,2015,5276,4783,8904413
New Mexico,2015,1837,1995,2084117
New York,2015,6286,8063,19673174
North Carolina,2015,5571,5721,9845333
North Dakota,2015,1032,1347,721640
Ohio,2015,5051,5701,11575977
Oklahoma,2015,2294,2287,3849733
Oregon,2015,3245,3402,3939233
Pennsylvania,2015,4891,5658,12779559
Rhode Island,2015,1424,1854,1053661
South Carolina,2015,3240,3443,4777576
South Dakota,2015,1396,1295,843190
Tennessee,2015,3575,3961,6499615
Texas,2015,10233,11554,26538614
Utah,2015,2630,2349,2903379
Vermont,2015,1008,1114,626604
Virginia,2015,4433,4516,8256630
Washington,2015,3936,4600,6985464
West Virginia,2015,1640,1862,1851420
Wisconsin,2015,3526,2812,5742117
Wyoming,2015,1126,975,579679
Puerto Rico,2015,2407,3374,3583073
Puerto Rico,2017,2772,3351,3468963
Alabama,2017,2952,3485,4850771
Alaska,2017,1278,1447,738565
Arizona,2017,4488,3421,6809946
Arkansas,2017,2518,2620,2977944
California,2017,10730,12358,38982847
Colorado,2017,4009,3971,5436519
Connecticut,2017,2654,3143,3594478
District of Columbia,2017,1437,1228,672391
Delaware,2017,1514,1673,943732
Florida,2017,8796,9725,20278447
Georgia,2017,6350,6038,10201635
Hawaii,2017,1935,1820,1421658
Idaho,2017,1654,2126,1657375
Illinois,2017,5931,5859,12854526
Indiana,2017,4329,4476,6614418
Iowa,2017,2374,2499,3118102
Kansas,2017,2041,2600,2903820
Kentucky,2017,2952,3288,4424376
Maine,2017,1733,1741,1330158
Louisiana,2017,3292,3663,4663461
Massachusetts,2017,4903,5120,6789319
Maryland,2017,3275,3582,5996079
Michigan,2017,4842,4600,9925568
Minnesota,2017,3247,3477,5490726
Mississippi,2017,2188,2827,2986220
Missouri,2017,3970,4231,6075300
Montana,2017,1387,1512,1029862
Nebraska,2017,1992,1644,1893921
New Hampshire,2017,2005,1957,1331848
Nevada,2017,2553,2438,2887725
New Jersey,2017,5578,5582,8960161
New Mexico,2017,1892,2155,2084828
New York,2017,7738,6948,19798228
North Carolina,2017,5514,6342,10052564
North Dakota,2017,1513,1340,745475
Ohio,2017,5279,5167,11609756
