State,Year,Total Population
West Virginia,2015,1851420
Wisconsin,2015,5742117
Wyoming,2015,579679
Puerto Rico,2015,3583073
Alabama,2016,4841164
Alaska,2016,736855
Arizona,2016,6728577
Arkansas,2016,2968472
California,2016,38654206
Colorado,2016,5359295
Connecticut,2016,3588570
Delaware,2016,934695
District of Columbia,2016,659009
Florida,2016,19934451
Georgia,2016,10099320
Hawaii,2016,1413673
Idaho,2016,1635483
Illinois,2016,12851684
Indiana,2016,6589578
Iowa,2016,3106589
Kansas,2016,2898292
Kentucky,2016,4411989
Louisiana,2016,4645670
Maine,2016,1329923
Maryland,2016,5959902
Massachusetts,2016,6742143
Michigan,2016,9909600
Minnesota,2016,5450868
Mississippi,2016,2989192
Missouri,2016,6059651
Montana,2016,1023391
Nebraska,2016,1881259
Nevada,2016,2839172
New Hampshire,2016,1327503
New Jersey,2016,8915456
New Mexico,2016,2082669
New York,2016,19697457
North Carolina,2016,9940828
North Dakota,2016,736162
Ohio,2016,11586941
Oklahoma,2016,3875589
Oregon,2016,3982267
Pennsylvania,2016,12783977
Rhode Island,2016,1054491
South Carolina,2016,4834605
South Dakota,2016,851058
Tennessee,2016,6548009
Texas,2016,26956435
Utah,2016,2948427
Vermont,2016,626249
Virginia,2016,8310301
Washington,2016,7073146
West Virginia,2016,1846092
Wisconsin,2016,5754798
Wyoming,2016,583029
Puerto Rico,2016,3529385
