State,year,Total Population,White (pop),Black (pop),Native/Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Native/Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
South Dakota,2014,834708,712496,12642,72016,0.011300957939782535,229,20693,26459,0.854,0.015,0.086,0.0,0.0,0.025,0.032
Tennessee,2014,6451365,5029109,1082001,17656,0.015258941324820407,3256,122662,309828,0.78,0.168,0.003,0.0,0.001,0.019,0.048
Texas,2014,26092033,19499105,3094227,127236,0.04089401542608811,21867,620302,9962643,0.747,0.119,0.005,0.0,0.001,0.024,0.382
Utah,2014,2858111,2515352,31163,31999,0.02121366175071577,26491,70463,379454,0.88,0.011,0.011,0.0,0.009,0.025,0.133
Vermont,2014,626358,595385,6435,2008,0.013091554670012997,214,12192,10226,0.951,0.01,0.003,0.0,0.0,0.019,0.016
Virginia,2014,8185131,5668363,1577943,23421,0.058109271555946994,5485,255121,687265,0.693,0.193,0.003,0.0,0.001,0.031,0.084
Washington,2014,6899123,5392302,250484,95117,0.075092442909048,42608,338963,809998,0.782,0.036,0.014,0.0,0.006,0.049,0.117
West Virginia,2014,1853881,1735816,59129,3075,0.007089991213028236,645,36921,24061,0.936,0.032,0.002,0.0,0.0,0.02,0.013
Wisconsin,2014,5724692,4965198,357758,49563,0.024001989976054607,1303,120776,355292,0.867,0.062,0.009,0.0,0.0,0.021,0.062
Wyoming,2014,575251,522535,5958,13144,0.00934722408131407,332,15518,54181,0.908,0.01,0.023,0.0,0.001,0.027,0.094
Puerto Rico,2014,3638965,2533581,290999,11102,0.00315584238925079,129,396212,3601918,0.696,0.08,0.003,0.0,0.0,0.109,0.99
Alabama,2015,4830620,3325464,1276544,23850,0.012337753745895972,2439,81646,193492,0.688,0.264,0.005,0.0,0.001,0.017,0.04
Alaska,2015,733375,484250,25022,101313,0.058525311061871484,8841,61755,47808,0.66,0.034,0.138,0.0,0.012,0.084,0.065
Arizona,2015,6641928,5210335,281576,294721,0.03012528892213225,12471,211845,2014711,0.784,0.042,0.044,0.0,0.002,0.032,0.303
Arkansas,2015,2958208,2307849,459748,18409,0.013635281900393752,6845,62537,203226,0.78,0.155,0.006,0.0,0.002,0.021,0.069
California,2015,38421464,23747013,2265387,287028,0.13695412543363783,150370,1734897,14750686,0.618,0.059,0.007,0.0,0.004,0.045,0.384
Colorado,2015,5278906,4446095,213787,50008,0.029071743274079895,7695,183480,1112586,0.842,0.04,0.009,0.0,0.001,0.035,0.211
Connecticut,2015,3593222,2778362,370501,8908,0.0419317258994852,981,101919,526508,0.773,0.103,0.002,0.0,0.0,0.028,0.147
Delaware,2015,926454,642623,200481,3140,0.0363137295537609,306,25266,80706,0.694,0.216,0.003,0.0,0.0,0.027,0.087
District of Columbia,2015,647484,260325,316447,2154,0.03679164272785119,250,17327,65803,0.402,0.489,0.003,0.0,0.0,0.027,0.102
Florida,2015,19645772,14934702,3171108,54569,0.02591320921366694,11024,472082,4660733,0.76,0.161,0.003,0.0,0.001,0.024,0.237
Georgia,2015,10006693,6025691,3096757,25887,0.03602069135127859,4704,213803,915120,0.602,0.309,0.003,0.0,0.0,0.021,0.091
Hawaii,2015,1406299,357164,28688,3012,0.3772675654323867,138901,333119,139251,0.254,0.02,0.002,0.0,0.099,0.237,0.099
Idaho,2015,1616547,1482914,9900,20504,0.013430478668421023,1921,41226,191314,0.917,0.006,0.013,0.0,0.001,0.026,0.118
Illinois,2015,12873761,9312771,1846108,28363,0.050151777712822226,3407,289537,2122841,0.723,0.143,0.002,0.0,0.0,0.022,0.165
Indiana,2015,6568645,5529201,603014,14793,0.01853182810153388,2285,145601,421206,0.842,0.092,0.002,0.0,0.0,0.022,0.064
Iowa,2015,3093526,2820046,97788,9977,0.02036414111276259,1882,60964,168230,0.912,0.032,0.003,0.0,0.001,0.02,0.054
Kansas,2015,2892987,2464566,168402,24022,0.02615048045497612,1796,95365,323218,0.852,0.058,0.008,0.0,0.001,0.033,0.112
Kentucky,2015,4397353,3851591,347034,9063,0.012617363218281543,2197,90836,143481,0.876,0.079,0.002,0.0,0.0,0.021,0.033
Louisiana,2015,4625253,2902538,1484363,27238,0.016824593162795637,1824,83877,218263,0.628,0.321,0.006,0.0,0.0,0.018,0.047
Maine,2015,1329100,1262026,15037,7811,0.010977353096080054,187,26298,19447,0.95,0.011,0.006,0.0,0.0,0.02,0.015
Maryland,2015,5930538,3416107,1750916,15579,0.060300768665507244,2754,175652,533671,0.576,0.295,0.003,0.0,0.0,0.03,0.09
Massachusetts,2015,6705586,5334859,478947,13189,0.059752421339462354,1644,194677,707928,0.796,0.071,0.002,0.0,0.0,0.029,0.106
Michigan,2015,9900571,7823875,1381388,53951,0.027146515084837026,2083,261324,467021,0.79,0.14,0.005,0.0,0.0,0.026,0.047
Minnesota,2015,5419171,4594367,299176,56561,0.04443225725853641,1970,144226,270984,0.848,0.055,0.01,0.0,0.0,0.027,0.05
Mississippi,2015,2988081,1768174,1116457,12896,0.00967175923276511,409,35334,86507,0.592,0.374,0.004,0.0,0.0,0.012,0.029
Missouri,2015,6045448,4995527,697022,24951,0.01762268073433102,6161,147645,233046,0.826,0.115,0.004,0.0,0.001,0.024,0.039
Montana,2015,1014699,904977,4757,65693,0.007082888620172091,848,25777,33622,0.892,0.005,0.065,0.0,0.001,0.025,0.033
Nebraska,2015,1869365,1647551,88195,16319,0.020363064463066335,1280,41595,186268,0.881,0.047,0.009,0.0,0.001,0.022,0.1
Nevada,2015,2798636,1929661,235721,31393,0.07676811132280154,17942,122935,770553,0.69,0.084,0.011,0.0,0.006,0.044,0.275
New Hampshire,2015,1324201,1241313,17439,2238,0.023685226034416227,228,24346,42141,0.937,0.013,0.002,0.0,0.0,0.018,0.032
New Jersey,2015,8904413,6083940,1202300,18335,0.0904033763932558,2808,223826,1688008,0.683,0.135,0.002,0.0,0.0,0.025,0.19
New Mexico,2015,2084117,1524911,43738,190528,0.013800088958537357,1276,68053,986972,0.732,0.021,0.091,0.0,0.001,0.033,0.474
New York,2015,19673174,12704637,3070392,74793,0.07981543801727164,6485,560879,3619658,0.646,0.156,0.004,0.0,0.0,0.029,0.184
North Carolina,2015,9845333,6839831,2115338,116143,0.02479103550890559,6244,231391,869908,0.695,0.215,0.012,0.0,0.001,0.024,0.088
North Dakota,2015,721640,640208,11872,38286,0.01244249210132476,304,16132,20569,0.887,0.016,0.053,0.0,0.0,0.022,0.029
Ohio,2015,11575977,9538328,1412045,21646,0.01867401775245407,3060,287212,390970,0.824,0.122,0.002,0.0,0.0,0.025,0.034
Oklahoma,2015,3849733,2813794,278571,279276,0.019370174503010987,4701,299936,371459,0.731,0.072,0.073,0.0,0.001,0.078,0.096
Oregon,2015,3939233,3352941,72837,46258,0.03977804816318303,15042,162793,485646,0.851,0.018,0.012,0.0,0.004,0.041,0.123
Pennsylvania,2015,12779559,10430142,1403143,23641,0.030720543643172664,4279,272689,815538,0.816,0.11,0.002,0.0,0.0,0.021,0.064
Rhode Island,2015,1053661,854859,68243,5106,0.03247059538124691,373,29782,143788,0.811,0.065,0.005,0.0,0.0,0.028,0.136
South Carolina,2015,4777576,3210708,1315058,14966,0.014020080475956846,2588,93950,254092,0.672,0.275,0.003,0.0,0.001,0.02,0.053
South Dakota,2015,843190,716691,13133,72619,0.012039990986610372,332,22323,27914,0.85,0.016,0.086,0.0,0.0,0.026,0.033
Tennessee,2015,6499615,5059894,1091070,17802,0.01569739130702357,3323,128760,320090,0.778,0.168,0.003,0.0,0.001,0.02,0.049
Texas,2015,26538614,19874610,3152917,126493,0.04235379436167993,21655,653062,10196367,0.749,0.119,0.005,0.0,0.001,0.025,0.384
Utah,2015,2903379,2544735,31909,31824,0.02207841277353043,26147,74755,389856,0.876,0.011,0.011,0.0,0.009,0.026,0.134
Vermont,2015,626604,594443,6949,2018,0.014002464076194853,249,12169,10691,0.949,0.011,0.003,0.0,0.0,0.019,0.017
Virginia,2015,8256630,5695147,1589345,22570,0.05970632085972122,5304,268167,709156,0.69,0.192,0.003,0.0,0.001,0.032,0.086
Washington,2015,6985464,5434177,253224,93266,0.0766593314345332,44159,360705,835488,0.778,0.036,0.013,0.0,0.006,0.052,0.12
West Virginia,2015,1851420,1732235,61367,2953,0.007283598535178404,625,36189,25408,0.936,0.033,0.002,0.0,0.0,0.02,0.014
Wisconsin,2015,5742117,4967124,360792,50449,0.025031186233230706,1233,122730,364558,0.865,0.063,0.009,0.0,0.0,0.021,0.063
Wyoming,2015,579679,527763,6142,12658,0.009175767968134088,423,15489,55698,0.91,0.011,0.022,0.0,0.001,0.027,0.096
Puerto Rico,2015,3583073,2495997,301519,11775,0.002835275753522186,129,332051,3547288,0.697,0.084,0.003,0.0,0.0,0.093,0.99
Puerto Rico,2017,3468963,2389446,338939,10849,0.0022453396014889752,136,210019,3432611,0.689,0.098,0.003,0.0,0.0,0.061,0.99
Alabama,2017,4850771,3317702,1287167,25098,0.012949487823688235,2213,88834,198375,0.684,0.265,0.005,0.0,0.0,0.018,0.041
Alaska,2017,738565,481971,23702,104995,0.06174676568751566,9075,62713,50162,0.653,0.032,0.142,0.0,0.012,0.085,0.068
Arizona,2017,6809946,5277661,292831,300182,0.03133901502302661,13364,237908,2103523,0.775,0.043,0.044,0.0,0.002,0.035,0.309
Arkansas,2017,2977944,2302141,459969,19476,0.01422726552279022,7062,71822,213246,0.773,0.154,0.007,0.0,0.002,0.024,0.072
California,2017,38982847,23607242,2263222,292018,0.14118188956286337,152027,1834714,15105860,0.606,0.058,0.007,0.0,0.004,0.047,0.388
Colorado,2017,5436519,4576201,221155,51406,0.03030818065751265,8580,188909,1157200,0.842,0.041,0.009,0.0,0.002,0.035,0.213
Connecticut,2017,3594478,2757064,376240,9385,0.04352509599446707,931,110654,551916,0.767,0.105,0.003,0.0,0.0,0.031,0.154
District of Columbia,2017,672391,273471,321062,1757,0.038010621795949086,289,19293,71829,0.407,0.477,0.003,0.0,0.0,0.029,0.107
Delaware,2017,943732,652170,206290,3482,0.03873239436619718,465,26260,84793,0.691,0.219,0.004,0.0,0.0,0.028,0.09
Florida,2017,20278447,15343997,3270863,56730,0.026796627966628805,12342,514823,5015015,0.757,0.161,0.003,0.0,0.001,0.025,0.247
