State,Year,Total Population,White (pop),Black (pop),Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
Alabama,2011,4747424,3307557,1244112,26399,52668,1256,65673,173990,0.697,0.262,0.006,0.011,0.0,0.014,0.037
Alaska,2011,700703,472504,23426,97628,35912,6848,55404,39212,0.674,0.033,0.139,0.051,0.01,0.079,0.056
Arizona,2011,6337373,4987541,252127,280986,172290,11933,172310,1864375,0.787,0.04,0.044,0.027,0.002,0.027,0.294
Arkansas,2011,2895928,2271277,449283,17239,34815,5031,54283,177869,0.784,0.155,0.006,0.012,0.002,0.019,0.061
California,2011,36969200,22860341,2252129,287712,4825271,141382,1459887,13752743,0.618,0.061,0.008,0.131,0.004,0.039,0.372
Colorado,2011,4966061,4167044,195640,48201,134228,5798,159786,1011545,0.839,0.039,0.01,0.027,0.001,0.032,0.204
Connecticut,2011,3558172,2796198,347941,8104,134108,1327,82104,463407,0.786,0.098,0.002,0.038,0.0,0.023,0.13
Delaware,2011,890856,630804,188519,3109,28726,442,19435,70196,0.708,0.212,0.003,0.032,0.0,0.022,0.079
District of Columbia,2011,593955,231122,308516,1779,20773,311,11359,53372,0.389,0.519,0.003,0.035,0.001,0.019,0.09
Florida,2011,18688787,14270053,2946899,58192,455403,11005,382884,4122759,0.764,0.158,0.003,0.024,0.001,0.02,0.221
Georgia,2011,9600612,5849795,2922448,23979,308677,4653,160652,824037,0.609,0.304,0.002,0.032,0.0,0.017,0.086
Hawaii,2011,1346554,335908,21628,3198,524274,129157,316096,119059,0.249,0.016,0.002,0.389,0.096,0.235,0.088
Idaho,2011,1549987,1431372,8823,19584,18714,2425,37948,168949,0.923,0.006,0.013,0.012,0.002,0.024,0.109
Illinois,2011,12790182,9214977,1859608,25216,583302,3185,234125,1987211,0.72,0.145,0.002,0.046,0.0,0.018,0.155
Indiana,2011,6454254,5482893,576304,14772,99194,1233,131771,377169,0.85,0.089,0.002,0.015,0.0,0.02,0.058
Iowa,2011,3032266,2782349,85714,9958,52881,1112,52876,144158,0.918,0.028,0.003,0.017,0.0,0.017,0.048
Kansas,2011,2830985,2412703,163063,23860,67532,1734,85765,287599,0.852,0.058,0.008,0.024,0.001,0.03,0.102
Kentucky,2011,4316040,3808381,336628,8913,47754,2403,69194,124593,0.882,0.078,0.002,0.011,0.001,0.016,0.029
Louisiana,2011,4484596,2838981,1429820,28154,69355,1719,65516,183706,0.633,0.319,0.006,0.015,0.0,0.015,0.041
Maine,2011,1328543,1268113,13979,7124,13745,310,21651,17307,0.955,0.011,0.005,0.01,0.0,0.016,0.013
Maryland,2011,5736545,3397326,1683842,16603,312883,2708,139300,451861,0.592,0.294,0.003,0.055,0.0,0.024,0.079
Massachusetts,2011,6512227,5294754,431907,12238,345422,1711,155263,606922,0.813,0.066,0.002,0.053,0.0,0.024,0.093
Michigan,2011,9920621,7869573,1395245,54638,244623,2690,223540,432043,0.793,0.141,0.006,0.025,0.0,0.023,0.044
Minnesota,2011,5278190,4556910,264751,57271,208315,2129,116735,242956,0.863,0.05,0.011,0.039,0.0,0.022,0.046
Mississippi,2011,2956700,1767875,1094596,13775,25807,579,31426,75626,0.598,0.37,0.005,0.009,0.0,0.011,0.026
Missouri,2011,5955802,4957147,686044,22509,93632,5725,130116,206777,0.832,0.115,0.004,0.016,0.001,0.022,0.035
Montana,2011,982854,881905,4403,61399,5999,664,22936,28368,0.897,0.004,0.062,0.006,0.001,0.023,0.029
Nebraska,2011,1813061,1600661,79828,15858,30637,1263,39937,159550,0.883,0.044,0.009,0.017,0.001,0.022,0.088
Nevada,2011,2673396,1960913,214360,29344,190079,16391,96094,698713,0.733,0.08,0.011,0.071,0.006,0.036,0.261
New Hampshire,2011,1315911,1241530,14520,2688,27702,296,19392,36452,0.943,0.011,0.002,0.021,0.0,0.015,0.028
New Jersey,2011,8753064,6095247,1180649,20490,714890,2112,192130,1512251,0.696,0.135,0.002,0.082,0.0,0.022,0.173
New Mexico,2011,2037136,1467191,41082,188613,27214,1157,61687,934301,0.72,0.02,0.093,0.013,0.001,0.03,0.459
New York,2011,19302448,12768805,3013740,67766,1415147,6706,441667,3356747,0.662,0.156,0.004,0.073,0.0,0.023,0.174
North Carolina,2011,9418736,6560948,2016228,108960,202815,4725,188390,764707,0.697,0.214,0.012,0.022,0.001,0.02,0.081
North Dakota,2011,666783,602373,7231,35544,6693,348,10965,13210,0.903,0.011,0.053,0.01,0.001,0.016,0.02
Ohio,2011,11525536,9592249,1395378,21194,190485,2162,229242,345370,0.832,0.121,0.002,0.017,0.0,0.02,0.03
Oklahoma,2011,3714520,2743563,270192,258295,63471,4257,277969,318007,0.739,0.073,0.07,0.017,0.001,0.075,0.086
Oregon,2011,3801991,3245856,68155,57114,139258,13447,135010,436806,0.854,0.018,0.015,0.037,0.004,0.036,0.115
Pennsylvania,2011,12660739,10473096,1358759,18065,341880,2785,215515,690128,0.827,0.107,0.001,0.027,0.0,0.017,0.055
Rhode Island,2011,1053959,863294,62682,4606,31476,459,25028,127816,0.819,0.059,0.004,0.03,0.0,0.024,0.121
South Carolina,2011,4575864,3075318,1281627,14939,56575,1920,72080,222550,0.672,0.28,0.003,0.012,0.0,0.016,0.049
South Dakota,2011,807697,697042,9347,69154,7672,197,17451,21539,0.863,0.012,0.086,0.009,0.0,0.022,0.027
Tennessee,2011,6297991,4949985,1048714,15285,90471,3097,101088,277011,0.786,0.167,0.002,0.014,0.0,0.016,0.044
Texas,2011,24774187,18093212,2917108,125101,939558,19966,524082,9216240,0.73,0.118,0.005,0.038,0.001,0.021,0.372
Utah,2011,2715379,2426175,29056,30842,54866,25137,60337,344014,0.893,0.011,0.011,0.02,0.009,0.022,0.127
Vermont,2011,624958,596736,5464,1802,7544,155,11141,9451,0.955,0.009,0.003,0.012,0.0,0.018,0.015
Virginia,2011,7926192,5526985,1545568,25665,430227,5295,198171,604882,0.697,0.195,0.003,0.054,0.001,0.025,0.076
Washington,2011,6652845,5256224,233549,94243,470798,37084,292915,725373,0.79,0.035,0.014,0.071,0.006,0.044,0.109
West Virginia,2011,1846372,1736461,58296,3052,11809,456,32083,22007,0.94,0.032,0.002,0.006,0.0,0.017,0.012
Wisconsin,2011,5664893,4941085,352620,48741,125630,1503,101366,324238,0.872,0.062,0.009,0.022,0.0,0.018,0.057
Wyoming,2011,554697,506661,4309,12752,3985,204,14879,46391,0.913,0.008,0.023,0.007,0.0,0.027,0.084
Puerto Rico,2011,3742586,2695914,274200,7554,11701,77,376281,3697954,0.72,0.073,0.002,0.003,0.0,0.101,0.988
Alabama,2012,4777326,3321318,1256097,26166,54923,1298,66839,182268,0.695,0.263,0.005,0.011,0.0,0.014,0.038
Alaska,2012,711139,477985,24219,98976,37968,7363,56792,40371,0.672,0.034,0.139,0.053,0.01,0.08,0.057
Arizona,2012,6410979,5085954,262284,283805,177598,12506,179981,1902946,0.793,0.041,0.044,0.028,0.002,0.028,0.297
Arkansas,2012,2916372,2285577,453062,17390,35744,5516,56104,185239,0.784,0.155,0.006,0.012,0.002,0.019,0.064
California,2012,37325068,23252553,2254160,291505,4921543,144236,1546851,14024109,0.623,0.06,0.008,0.132,0.004,0.041,0.376
Colorado,2012,5042853,4243753,201424,49099,136882,6034,166828,1040478,0.842,0.04,0.01,0.027,0.001,0.033,0.206
Connecticut,2012,3572213,2802217,355660,8531,138355,1472,87718,480185,0.784,0.1,0.002,0.039,0.0,0.025,0.134
Delaware,2012,900131,634259,192629,2877,29177,377,20916,73230,0.705,0.214,0.003,0.032,0.0,0.023,0.081
District of Columbia,2012,605759,239413,309263,2143,21440,312,12536,56259,0.395,0.511,0.004,0.035,0.001,0.021,0.093
Florida,2012,18885152,14438364,3005551,58119,464587,11575,409903,4247427,0.765,0.159,0.003,0.025,0.001,0.022,0.225
Georgia,2012,9714569,5903173,2970481,24937,318530,4498,178503,853602,0.608,0.306,0.003,0.033,0.0,0.018,0.088
Hawaii,2012,1362730,339079,22399,3079,527745,133873,320311,122882,0.249,0.016,0.002,0.387,0.098,0.235,0.09
Idaho,2012,1567803,1445289,8821,19376,19097,2213,39180,175512,0.922,0.006,0.012,0.012,0.001,0.025,0.112
Illinois,2012,12823860,9298731,1860471,26669,595110,2907,250627,2027384,0.725,0.145,0.002,0.046,0.0,0.02,0.158
Indiana,2012,6485530,5500814,582691,15241,102713,1533,136627,389094,0.848,0.09,0.002,0.016,0.0,0.021,0.06
Iowa,2012,3047646,2793432,88664,9708,54262,1308,56045,151027,0.917,0.029,0.003,0.018,0.0,0.018,0.05
Kansas,2012,2851183,2435253,164177,23435,68683,1603,88695,298636,0.854,0.058,0.008,0.024,0.001,0.031,0.105
Kentucky,2012,4340167,3823344,339228,8607,49681,2370,74380,131039,0.881,0.078,0.002,0.011,0.001,0.017,0.03
Louisiana,2012,4529605,2856883,1450992,28702,71460,1826,69984,192582,0.631,0.32,0.006,0.016,0.0,0.015,0.043
Maine,2012,1329084,1266435,14338,7168,13971,288,23528,17241,0.953,0.011,0.005,0.011,0.0,0.018,0.013
Maryland,2012,5785496,3408049,1700174,17323,323363,2419,152556,472285,0.589,0.294,0.003,0.056,0.0,0.026,0.082
Massachusetts,2012,6560595,5310948,446347,12908,357354,1576,167819,630406,0.81,0.068,0.002,0.054,0.0,0.026,0.096
Michigan,2012,9897264,7852317,1391269,55723,245587,2678,234380,438398,0.793,0.141,0.006,0.025,0.0,0.024,0.044
Minnesota,2012,5313081,4570137,271953,56770,216159,2087,124354,250025,0.86,0.051,0.011,0.041,0.0,0.023,0.047
Mississippi,2012,2967620,1768530,1101849,13344,26403,345,33496,78634,0.596,0.371,0.004,0.009,0.0,0.011,0.026
Missouri,2012,5982413,4972530,689683,22704,96035,5812,134300,212152,0.831,0.115,0.004,0.016,0.001,0.022,0.035
Montana,2012,990785,887924,4145,62398,6034,674,23879,28984,0.896,0.004,0.063,0.006,0.001,0.024,0.029
Nebraska,2012,1827306,1612538,82341,16461,32302,1075,39295,167155,0.882,0.045,0.009,0.018,0.001,0.022,0.091
Nevada,2012,2704204,1970074,218305,30061,196245,16472,103745,717835,0.729,0.081,0.011,0.073,0.006,0.038,0.265
New Hampshire,2012,1317474,1241440,15339,2470,28684,203,20647,37355,0.942,0.012,0.002,0.022,0.0,0.016,0.028
New Jersey,2012,8793888,6121023,1187307,21702,736015,2592,208220,1557680,0.696,0.135,0.002,0.084,0.0,0.024,0.177
New Mexico,2012,2055287,1492641,41634,189785,26855,1344,62839,952569,0.726,0.02,0.092,0.013,0.001,0.031,0.463
New York,2012,19398125,12808268,3037255,69500,1445539,6477,474066,3425845,0.66,0.157,0.004,0.075,0.0,0.024,0.177
North Carolina,2012,9544249,6659867,2047092,110171,211708,4424,204471,796293,0.698,0.214,0.012,0.022,0.0,0.021,0.083
North Dakota,2012,676253,608799,8286,36160,6869,375,11827,14195,0.9,0.012,0.053,0.01,0.001,0.017,0.021
Ohio,2012,11533561,9577732,1403238,21447,196395,2164,242289,354910,0.83,0.122,0.002,0.017,0.0,0.021,0.031
Oklahoma,2012,3749005,2766297,270993,261060,65643,4271,287641,331057,0.738,0.072,0.07,0.018,0.001,0.077,0.088
Oregon,2012,3836628,3272707,69377,52637,143652,14132,140039,449888,0.853,0.018,0.014,0.037,0.004,0.037,0.117
Pennsylvania,2012,12699589,10475818,1372144,19247,351626,3821,232597,721899,0.825,0.108,0.002,0.028,0.0,0.018,0.057
Rhode Island,2012,1052471,859686,64711,4784,31863,350,26786,131316,0.817,0.061,0.005,0.03,0.0,0.025,0.125
