State,year,Poverty(Pop),Income ($)
Georgia,2017,10201635,22775
Hawaii,2017,1421658,342
Idaho,2017,1657375,8117
Illinois,2017,12854526,25117
Indiana,2017,6614418,26139
Iowa,2017,3118102,10070
Kansas,2017,2903820,9091
Kentucky,2017,4424376,27825
Maine,2017,1330158,5528
Louisiana,2017,4663461,13233
Massachusetts,2017,6789319,9693
Maryland,2017,5996079,5923
Michigan,2017,9925568,36454
Minnesota,2017,5490726,11133
Mississippi,2017,2986220,9231
Missouri,2017,6075300,26552
Montana,2017,1029862,4194
Nebraska,2017,1893921,4798
New Hampshire,2017,1331848,3301
Nevada,2017,2887725,4155
New Jersey,2017,8960161,12720
New Mexico,2017,2084828,2968
New York,2017,19798228,41988
North Carolina,2017,10052564,25215
North Dakota,2017,745475,1609
Ohio,2017,11609756,45151
Oklahoma,2017,3896251,13410
Oregon,2017,4025127,12818
Pennsylvania,2017,12790505,35048
Rhode Island,2017,1056138,2062
South Carolina,2017,4893444,14088
South Dakota,2017,855444,2546
Tennessee,2017,6597381,26382
Texas,2017,27419612,37385
Utah,2017,2993941,8974
Vermont,2017,624636,2447
Virginia,2017,8365952,15645
West Virginia,2017,1836843,12325
Washington,2017,7169967,15871
Wyoming,2017,583200,1635
Wisconsin,2017,5763217,14494
Minnesota,2018,5527358,10600
Mississippi,2018,2988762,8466
Missouri,2018,6090062,25205
Montana,2018,1041732,3708
Nebraska,2018,1904760,4562
Nevada,2018,2922849,3641
New Hampshire,2018,1343622,3370
New Jersey,2018,8881845,11359
New Mexico,2018,2092434,2503
New York,2018,19618453,40197
North Carolina,2018,10155624,24003
North Dakota,2018,752201,1768
Ohio,2018,11641879,42130
Oklahoma,2018,3918137,13082
Oregon,2018,4081943,13128
Pennsylvania,2018,12791181,33144
Rhode Island,2018,1056611,2048
South Carolina,2018,4955925,13467
South Dakota,2018,864289,2144
Tennessee,2018,6651089,25350
Texas,2018,27885195,35706
Utah,2018,3045350,8219
Vermont,2018,624977,2270
Virginia,2018,8413774,15370
West Virginia,2018,1829054,12175
Washington,2018,7294336,14312
Wisconsin,2018,5778394,14056
Wyoming,2018,581836,1654
Puerto Rico,2018,3386941,368
Alabama,2018,4864680,15215
Alaska,2018,738516,1422
Arizona,2018,6946685,11811
Arkansas,2018,2990671,12337
California,2018,39148760,34734
Colorado,2018,5531141,8600
Connecticut,2018,3581504,3546
Delaware,2018,949495,1342
District of Columbia,2018,684498,99
Florida,2018,20598139,35177
Georgia,2018,10297484,21253
Idaho,2018,1687809,7457
Hawaii,2018,1422029,349
Illinois,2018,12821497,24207
Indiana,2018,6637426,24683
Iowa,2018,3132499,9413
Kansas,2018,2908776,8731
Kentucky,2018,4440204,27808
Louisiana,2018,4663616,13464
Maine,2018,1332813,5651
Maryland,2018,6003435,6152
Massachusetts,2018,6830193,8931
Michigan,2018,9957488,35135
